GEOID,total_population,median_household_income,pct_no_vehicle,insurance_coverage_pct,pct_bachelors_plus,pct_white,white_pop,pop_25plus,bachelors_plus_count
1001,58761,68315.0,3.9806347498655192,99.5212645579096,28.317485472794505,75.7562141663222,42150.0,37860.0,10721.0
1003,233420,71039.0,2.2642673068875134,98.74562097412138,31.907330149200003,85.43902807745695,186504.0,155563.0,49636.0
1005,24877,39712.0,11.73469387755102,99.34679334916864,11.614317019722426,46.29984815791577,11587.0,17797.0,2067.0
1007,22251,50669.0,7.53880266075388,99.58273381294964,11.346719209357603,76.59783677482793,17138.0,15987.0,1814.0
1009,59077,57440.0,4.841394617589938,99.4008909826412,13.251620033154165,93.967621850922,54271.0,39814.0,5276.0
1011,10328,36136.0,10.405797101449275,99.5435684647303,10.274174528301886,26.17713555490023,2663.0,6784.0,697.0
1013,18981,44429.0,5.034357032674239,98.84940597238574,15.955137481910276,51.622224475311775,10183.0,13820.0,2205.0
1015,116162,54339.0,5.571342268364173,99.06088535120792,18.85597781351704,73.30131905811554,83801.0,78967.0,14890.0
1017,34612,48805.0,6.969489462071064,99.13858775271022,14.441967102772283,56.88515272085441,19015.0,23771.0,3433.0
1019,25069,46621.0,3.2409722916875063,99.73768110093224,12.93423183409079,92.06836950259266,23970.0,19143.0,2476.0
1021,45140,62471.0,3.2839170751875257,99.466291507559,13.620535270122376,82.13468638865609,36260.0,30153.0,4107.0
1023,12669,43299.0,5.680948737566947,99.72095989795103,13.51613947965022,56.863974911799296,7253.0,9263.0,1252.0
1025,23058,47549.0,10.613092330239375,99.65714285714286,13.78794228581692,52.459565909662274,12520.0,16703.0,2303.0
1027,14209,48074.0,6.3628076572470365,99.82757381995832,11.781026571337105,83.31200602182913,11068.0,9371.0,1104.0
1029,15144,51553.0,6.7522999479257075,99.70645139769164,16.018219776048586,93.33199571963615,13955.0,10538.0,1688.0
1031,53559,62199.0,3.963070274517507,98.9332763377764,21.727515583259127,74.6850951414679,39014.0,35936.0,7808.0
1033,57270,56149.0,4.680649875354595,99.48929275852352,17.370831947181205,78.75065960660153,43279.0,39077.0,6788.0
1035,11576,39888.0,7.006512463507747,99.11442958847022,13.834126444595512,50.54423438906621,6176.0,8826.0,1221.0
1037,10329,52279.0,3.7759439859964994,99.0220788385926,11.556575292839028,65.93118922961855,7052.0,8281.0,957.0
1039,37542,48772.0,6.354797801888122,98.40442764578836,15.614806948342563,84.267845589821,31260.0,26366.0,4117.0
1041,13205,48557.0,7.31556106633602,98.71606466083998,18.504750103263117,71.53189642702156,9890.0,9684.0,1792.0
1043,88284,58119.0,2.9421379535796013,99.21090551451248,15.415604985882512,93.94084828124063,78295.0,58084.0,8954.0
1045,49455,52813.0,5.22680412371134,99.40645216388752,18.21788676093312,71.58420059643356,35286.0,33522.0,6107.0
1047,38326,37180.0,14.593641971124516,99.54773737214376,16.645191519269066,27.220825476639433,10394.0,25611.0,4263.0
1049,71680,47920.0,4.172829894900739,99.03438929357954,13.979629859644763,84.77390452190956,60554.0,48306.0,6753.0
1051,87694,73258.0,4.303380561769823,99.18401834751644,25.815337347482913,74.91229791722887,61073.0,56633.0,14620.0
1053,36755,41153.0,6.135770234986945,98.28728153356867,12.500486324553552,61.88171312032631,22757.0,25703.0,3213.0
1055,103348,52177.0,4.235518548116831,99.2076209086468,17.69684712140522,79.14447873365718,81298.0,72188.0,12775.0
1057,16297,45650.0,10.695100113950838,99.397365805169,12.288282060145178,84.62757527733757,13884.0,11572.0,1422.0
1059,32011,47359.0,9.173414004804698,96.98897637795277,15.049119643111386,82.36616329502644,26017.0,21071.0,3171.0
1061,26647,47608.0,6.832836108170532,99.28978351690088,13.08326198630137,85.95686616381761,22678.0,18688.0,2445.0
1063,7706,32796.0,13.161559888579388,97.86341591296367,10.124826629680998,17.39447755747476,1430.0,5768.0,584.0
1065,14742,35851.0,11.475106422357948,99.26962034038448,15.594133492966176,38.41670055578149,5668.0,10023.0,1563.0
1067,17282,58395.0,7.612922524678432,99.2939930575984,18.896348452595383,70.04613677509782,11994.0,12214.0,2308.0
1069,107040,55064.0,6.200803986231134,99.45078795885628,22.12782893924214,68.22795506983546,71857.0,72863.0,16123.0
1071,52618,46748.0,4.615384615384616,99.41823627671216,16.22014985715056,91.20254998551144,47211.0,37102.0,6018.0
1073,672265,63595.0,6.86283362303137,99.1142072673798,34.05002232941328,51.41759601588182,338644.0,450079.0,153252.0
1075,13885,49565.0,5.746904024767802,99.83244700225832,11.284403669724773,87.42601414753862,12112.0,9810.0,1107.0
1077,94329,56081.0,6.072652143212072,99.0375237135722,25.076066095585823,85.94271562399052,79815.0,64089.0,16071.0
1079,33116,54786.0,5.097825239691324,99.64385729940338,15.849750010683303,78.24926446055386,25798.0,23401.0,3709.0
1081,175126,59288.0,4.773961881962987,99.32006051576458,36.4285354679555,69.67655893454709,113894.0,99315.0,36179.0
1083,104199,80146.0,3.0747692626775898,99.33606022882208,24.91540883278901,78.89827797897256,76469.0,67974.0,16936.0
1085,10153,33125.0,11.097225693576606,99.7099709970997,14.65467208357516,24.798711755233494,2464.0,6892.0,1010.0
1087,19198,41206.0,10.783901276118357,98.88630845561067,20.47435467650017,16.271627705158107,3000.0,11932.0,2443.0
1089,389781,78058.0,4.106060701013354,99.34870026166436,43.829242989395986,67.28295338957697,247390.0,252546.0,110689.0
1091,19180,42975.0,8.591950128743733,99.82585751978893,17.11324376199616,46.58271501724318,8915.0,13025.0,2229.0
1093,29203,49743.0,4.973679433654021,99.2070423027212,13.344602526177397,92.2865383325508,27518.0,21297.0,2842.0
1095,97923,58272.0,4.801001948232675,99.32135110009295,20.674108392151982,90.27117550994934,86784.0,64322.0,13298.0
1097,413878,55352.0,6.749788540459259,99.20919059337588,24.38821279865616,58.00660423163606,240134.0,279795.0,68237.0
1099,19816,39965.0,6.303096738832557,99.45652173913044,13.545708256755836,54.38922212701133,11425.0,14691.0,1990.0
1101,228132,56707.0,6.871301033202928,99.15558094861056,33.72161672714247,34.73643304732591,78661.0,150749.0,50835.0
1103,123102,61588.0,5.112073993833848,98.99616959450536,21.302791350200764,78.56173336014479,93765.0,82684.0,17614.0
1105,8479,32332.0,10.3739837398374,100.0,17.822820199196226,29.613356766256587,2696.0,5723.0,1020.0
1107,18925,45339.0,7.793307920372723,99.19233875620168,14.423745307938274,56.78088682727318,11384.0,14386.0,2075.0
1109,32997,42616.0,6.6855618539513175,99.19093851132686,29.627136198860693,57.79287131093346,19230.0,19310.0,5721.0
1111,22179,49879.0,5.281246419979379,99.41611166864335,17.101231788907647,77.26112968502551,17563.0,15993.0,2735.0
1113,58849,47420.0,8.844088313016792,99.44859074545614,17.492362525458248,47.7665780662087,27675.0,39280.0,6871.0
1115,91719,73218.0,3.262604172823453,99.27373740754376,18.12187139006546,87.02785368102643,77393.0,62328.0,11295.0
1117,223916,90618.0,2.6475362872421697,99.36472296240188,44.2090519720416,79.75964871735613,172560.0,147791.0,65337.0
1119,12196,31726.0,7.732388495206336,99.6182572614108,18.41452265900483,25.327510917030565,3190.0,7657.0,1410.0
1121,81105,52457.0,7.676380605086684,99.34323610149056,15.2652304841325,63.482627984646825,50941.0,56121.0,8567.0
1123,41251,53282.0,6.8621486798880635,99.39404389486909,18.814459839566624,69.85908529048208,28258.0,28797.0,5418.0
1125,231558,61645.0,5.688965460274005,99.52596310529022,31.145562853215218,63.344250050274354,132297.0,130940.0,40782.0
1127,64978,52987.0,4.717210130269439,97.88159371492704,13.419224736724178,89.56145575373813,57142.0,44630.0,5989.0
1129,15434,51184.0,4.140937159462404,99.59453273167225,14.4151417294582,65.99534769833497,10781.0,11148.0,1607.0
1131,10441,38208.0,13.607152835987709,99.9804706571624,11.657223796033994,27.17968157695224,2868.0,7060.0,823.0
1133,23655,49494.0,5.305943095682742,98.62225846602858,13.275932282273548,95.57607962213226,22663.0,17189.0,2282.0
2013,3407,79961.0,25.027808676307007,96.41281975889444,16.55328798185941,14.753614635585718,500.0,2646.0,438.0
2016,5219,100662.0,9.907120743034056,99.10287081339712,17.015209125475288,26.45409950946041,1510.0,4208.0,716.0
2020,290674,95731.0,5.6798028637034,97.98383620689654,36.57958356078921,61.19175596562704,178735.0,192345.0,70359.0
2050,18538,64094.0,61.86199342825849,97.7196732993477,11.33014937506351,10.266659365931115,1875.0,9841.0,1115.0
2060,854,94167.0,10.211267605633804,99.40405244338498,25.846702317290553,51.96211096075778,384.0,561.0,145.0
2063,7000,83068.0,5.73502722323049,97.30327144120248,29.06530089628681,75.25789068514241,4888.0,4686.0,1362.0
